Title,Description,Keywords,Reward,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.feedback,Answer.q_question-3D-0,Answer.q_question-3D-1,Answer.q_question-3D-2,Answer.q_question-3D-3,Answer.q_question-3D-4,Answer.q_question-3D-5,Answer.q_question-3D-6,Answer.q_question-stacked-1,Answer.q_question-stacked-2,Answer.q_question-stacked-3,Answer.q_question-stacked-4,Answer.q_question-stacked-5,Answer.q_question-stacked-6,Answer.tm,Approve,Reject
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Sun Jan 21 20:41:16 PST 2024,30,3600,86400,Sun Jan 28 20:41:16 PST 2024,,,3300,Approved,Sun Jan 21 23:27:25 PST 2024,Sun Jan 21 23:50:41 PST 2024,Mon Jan 22 23:50:41 PST 2024,Mon Jan 22 23:51:09 PST 2024,,,1396,100% (1/1),100% (1/1),100% (1/1),good,Depth,B,one,two,A,one,one,A,one,two,B,one,three,230.568,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Sun Jan 21 20:41:16 PST 2024,30,3600,86400,Sun Jan 28 20:41:16 PST 2024,,,3301,Approved,Sun Jan 21 22:10:19 PST 2024,Sun Jan 21 22:24:04 PST 2024,Mon Jan 22 22:24:04 PST 2024,Mon Jan 22 22:24:10 PST 2024,,,825,100% (1/1),100% (1/1),100% (1/1),none,B,B,one,one,A,two,three,A,one,two,B,one,three,818.45,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Sun Jan 21 20:41:16 PST 2024,30,3600,86400,Sun Jan 28 20:41:16 PST 2024,,,3302,Approved,Sun Jan 21 20:52:27 PST 2024,Sun Jan 21 21:03:17 PST 2024,Mon Jan 22 21:03:17 PST 2024,Mon Jan 22 21:04:09 PST 2024,,,650,100% (1/1),100% (1/1),100% (1/1),good,y,A,one,one,B,two,two,A,one,two,B,one,three,288.82,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Sun Jan 21 20:41:16 PST 2024,30,3600,86400,Sun Jan 28 20:41:16 PST 2024,,,3303,Approved,Sun Jan 21 20:44:40 PST 2024,Sun Jan 21 20:48:52 PST 2024,Mon Jan 22 20:48:52 PST 2024,Mon Jan 22 20:49:09 PST 2024,,,252,100% (1/1),100% (1/1),100% (1/1),{},Y,B,one,two,B,one,two,B,one,three,none,one,three,233.707,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Sun Jan 21 20:41:16 PST 2024,30,3600,86400,Sun Jan 28 20:41:16 PST 2024,,,3304,Approved,Sun Jan 21 20:44:05 PST 2024,Sun Jan 21 21:10:30 PST 2024,Mon Jan 22 21:10:30 PST 2024,Mon Jan 22 21:11:09 PST 2024,,,1585,100% (1/1),100% (1/1),100% (1/1),{},X,B,two,three,A,two,three,A,one,two,A,three,three,388.493,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Sun Jan 21 20:41:16 PST 2024,30,3600,86400,Sun Jan 28 20:41:16 PST 2024,,,3305,Approved,Sun Jan 21 22:30:15 PST 2024,Sun Jan 21 22:40:41 PST 2024,Mon Jan 22 22:40:41 PST 2024,Mon Jan 22 22:41:09 PST 2024,,,626,100% (1/1),100% (1/1),100% (1/1),good,xyc,B,two,two,A,two,two,B,two,two,B,two,two,315.542,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Sun Jan 21 20:41:16 PST 2024,30,3600,86400,Sun Jan 28 20:41:16 PST 2024,,,3306,Approved,Sun Jan 21 21:04:25 PST 2024,Sun Jan 21 21:10:31 PST 2024,Mon Jan 22 21:10:31 PST 2024,Mon Jan 22 21:11:09 PST 2024,,,366,100% (1/1),100% (1/1),100% (1/1),{},"horizontal, vertical, depth",B,two,one,A,three,three,A,two,one,B,one,three,364.917,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Sun Jan 21 20:41:16 PST 2024,30,3600,86400,Sun Jan 28 20:41:16 PST 2024,,,3307,Approved,Sun Jan 21 20:52:07 PST 2024,Sun Jan 21 21:06:33 PST 2024,Mon Jan 22 21:06:33 PST 2024,Mon Jan 22 21:07:09 PST 2024,,,866,100% (1/1),100% (1/1),100% (1/1),good,y,A,two,one,B,two,two,A,one,one,B,one,three,153.552,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Sun Jan 21 20:41:16 PST 2024,30,3600,86400,Sun Jan 28 20:41:16 PST 2024,,,3308,Approved,Mon Jan 22 03:55:55 PST 2024,Mon Jan 22 04:11:52 PST 2024,Tue Jan 23 04:11:52 PST 2024,Tue Jan 23 04:12:09 PST 2024,,,957,100% (1/1),100% (1/1),100% (1/1),{},I,B,one,none,A,two,three,A,one,two,B,one,three,845.764,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Sun Jan 21 20:41:16 PST 2024,30,3600,86400,Sun Jan 28 20:41:16 PST 2024,,,3309,Approved,Sun Jan 21 21:04:35 PST 2024,Sun Jan 21 21:25:35 PST 2024,Mon Jan 22 21:25:35 PST 2024,Mon Jan 22 21:26:09 PST 2024,,,1260,100% (2/2),100% (1/1),100% (1/1),"The 3D graphs would not load properly. I had trouble dragging the charts to determine the name of the axis. All the other 3D graphs only showed the names ""one"" and ""two"". Those words dragged, but every time I dragged those words, the 3D graphs would not load so I had to guess on those answers. Not sure if it was an error on my part or yours.",not sure,B,one,none,A,two,three,A,one,two,B,one,three,470.561,,
